customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00109,Female,0,Yes,No,34,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,64.91,2198.13,Yes
CUST-00110,Male,0,No,No,8,Yes,No,No,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,35.44,349.3,Yes
CUST-00111,Female,1,No,No,49,No,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,54.33,2644.09,Yes
CUST-00112,Male,0,No,Yes,5,Yes,No,No,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),39.03,161.55,Yes
CUST-00113,Male,0,No,Yes,54,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.36,1909.1,Yes
CUST-00114,Female,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,40.98,2556.68,Yes
CUST-00115,Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),38.24,950.76,No
CUST-00116,Male,0,No,No,64,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,31.64,1980.27,Yes
CUST-00117,Female,0,Yes,No,50,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,37.16,1838.11,No
CUST-00118,Female,1,No,No,1,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),27.13,16.52,No
CUST-00119,Female,0,No,Yes,15,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.55,534.91,Yes
CUST-00120,Female,1,No,No,46,Yes,No,No,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,37.26,1744.86,Yes
CUST-00121,Female,1,Yes,No,50,Yes,No,No,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,43.27,2164.73,No
CUST-00122,Male,1,No,No,7,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,42.18,333.24,No
CUST-00123,Male,0,Yes,No,49,No,Yes,No,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),35.74,1783.93,No
CUST-00124,Female,1,Yes,No,58,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,43.69,2497.07,No
CUST-00125,Male,0,Yes,No,7,Yes,Yes,No,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,55.1,346.69,Yes
CUST-00126,Male,0,Yes,No,63,No,No,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),46.74,2926.84,No
CUST-00127,Female,0,No,No,38,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,28.49,996.71,No
CUST-00128,Male,0,No,Yes,44,Yes,No,No,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),29.37,1295.55,No
CUST-00129,Male,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,19.52,69.1,No
CUST-00130,Male,0,No,No,44,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,58.58,2642.77,Yes
CUST-00131,Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),42.42,1443.89,No
CUST-00132,Male,0,No,No,27,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),42.09,1124.51,Yes
CUST-00133,Female,1,No,No,56,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,33.05,1889.96,No
CUST-00134,Male,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),43.71,780.34,Yes
CUST-00135,Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,59.68,317.29,Yes
CUST-00136,Female,0,Yes,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,49.68,1711.3,No
CUST-00137,Male,0,Yes,Yes,53,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,41.22,2162.4,Yes
CUST-00138,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,50.51,511.75,Yes
CUST-00139,Female,0,No,No,70,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,59.48,4153.02,Yes
CUST-00140,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),53.54,2621.76,No
CUST-00141,Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,28.21,1904.5,Yes
CUST-00142,Female,0,No,No,34,Yes,No,No,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,39.12,1354.67,No
CUST-00143,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),57.43,525.56,No
CUST-00144,Female,1,No,Yes,13,Yes,No,No,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,29.87,389.1,Yes
CUST-00145,Male,0,No,No,36,Yes,Yes,No,Yes,Yes,No,No,No,No,Two year,No,Electronic check,30.36,1129.89,No
CUST-00146,Male,1,Yes,No,42,Yes,No,No,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),24.44,1098.03,No
CUST-00147,Female,0,Yes,Yes,53,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,41.38,2109.6,No
CUST-00148,Female,0,Yes,No,57,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,43.46,2436.88,No
CUST-00149,Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),24.61,1355.95,No
CUST-00150,Female,0,No,No,42,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),49.09,2115.73,No
CUST-00151,Male,1,No,Yes,2,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,50.93,133.39,Yes
CUST-00152,Female,0,Yes,No,38,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),37.27,1383.68,No
CUST-00153,Male,0,No,Yes,59,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),35.83,2098.37,No
CUST-00154,Female,0,Yes,No,61,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.09,3573.63,No
CUST-00155,Female,0,Yes,Yes,60,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),45.2,2688.07,Yes
CUST-00156,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,25.22,36.58,Yes
CUST-00157,Female,0,No,Yes,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),50.92,1551.32,No
CUST-00158,Male,0,No,No,44,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,42.6,1893.95,No
CUST-00159,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,48.95,906.57,Yes
CUST-00160,Male,0,No,Yes,30,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,31.81,846.65,Yes
CUST-00161,Male,0,Yes,No,7,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,36.43,326.97,Yes
CUST-00162,Male,0,No,No,14,Yes,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,42.69,673.96,No
CUST-00163,Female,0,No,No,1,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),36.54,-44.82,No
CUST-00164,Female,0,No,No,70,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,35.39,2468.16,No
CUST-00165,Female,0,Yes,Yes,62,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,30.3,1813.33,No
CUST-00166,Male,0,Yes,No,29,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),43.71,1182.36,Yes
CUST-00167,Female,1,No,Yes,1,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),41.82,74.25,No
CUST-00168,Female,0,Yes,No,24,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,52.89,1341.84,Yes
CUST-00169,Female,0,No,No,31,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,52.33,1621.31,Yes
CUST-00170,Female,0,Yes,No,12,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),59.33,774.45,Yes
CUST-00171,Female,0,No,Yes,47,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,55.73,2592.83,Yes
CUST-00172,Female,0,Yes,No,71,No,No,No,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,48.72,3401.13,Yes
CUST-00173,Male,0,No,Yes,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),40.28,2401.22,Yes
CUST-00174,Male,0,Yes,No,61,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,43.8,2640.48,Yes
CUST-00175,Male,0,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),53.3,3161.87,Yes
CUST-00176,Female,0,No,Yes,5,No,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,43.81,262.55,Yes
CUST-00177,Male,0,Yes,Yes,40,Yes,No,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),22.58,857.03,Yes
CUST-00178,Female,0,No,No,41,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,40.28,1597.32,Yes
CUST-00179,Male,0,No,Yes,8,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),42.72,376.92,Yes
